coursecode,coursename,gsc,credits,tag,crn,avail_seats,max_seats,time,day,location,instructor,notes
ARCH 407,Sem Renaissance Arch,,3.00 cr.,,17095,4,6,0900-1150,f,405A LA,Genasci D,
CH 401,Res Biomol Struc/Spect,,1.00-16.00 cr.,,11362,3,3,tba,tba,tba,De Rose V,k
BI 601,Res Cardiovasc Physiol,,1.00-16.00 cr.,,11137,10,10,tba,tba,tba,Lombardi P,
DAN 508,Wrk Rehearsal & Perf,,1.00-3.00 cr.,,11788,25,25,1600-1750,mtwrf,353 GRX,Kennedy W,!b
ANTH 688,Social Theory I,,5.00 cr.,,16375,10,15,1000-1150,mw,313 CON,Silverman C,
ARCH 484,Arch Design,,6.00 cr.,,10440,17,17,1830-2120,t,WSB,tba,!$Mp
BI 510,Tropical Marine Ecol,,4.00 cr.,+ Dis,11116,4,5,1000-1120,t,129 HUE,Wood M,b
ARCH 461,Structural Behavior,,4.00 cr.,+ Lab,10412,0,13,1730-1850,w,100 LA,tba,M
ASIA 601,Research,,1.00-6.00 cr.,,10846,10,10,tba,tba,tba,STAFF,
ANTH 270,Intro Biological Anth,3,4.00 cr.,+ Lab,10268,11,20,1300-1350,t,368 CON,tba,
ENVS 429,Top Environ Leadership,,4.00 cr.,,17007,3,10,1200-1350,tr,142 COL,Boulay P,!$
COLT 232,Literature and Film,1 IC,4.00 cr.,+ Dis,16499,6,20,1200-1250,r,44 COL,tba,
IARC 484,Interior Design,,6.00 cr.,,13013,18,18,1300-1650,mwf,TBA,tba,!$M
COLT 211,Comparative World Lit,1 IC,4.00 cr.,,11641,13,30,1000-1150,mw,201 VIL,Xiong Y,
HUM 101,Humanities I,1,4.00 cr.,+ Dis,12991,22,24,1000-1050,r,373 MCK,Bhattacharya S,U
EC 311,Interm Microec Theory,,4.00 cr.,,11897,38,90,1200-1350,mw,101 JAQ,Burlando A,!GY
FLR 605,Reading,,1.00-6.00 cr.,,12412,10,10,tba,tba,tba,STAFF,
HIST 101,Western Civilization,2,4.00 cr.,+ Dis,12777,18,25,1300-1350,m,373 MCK,tba,
ARCH 457,The Facade,,3.00 cr.,,10408,0,12,1000-1120,tr,206 LA,Tice J,!M
ACTG 617,Taxation of Businesses,,4.00 cr.,,10136,24,46,1000-1150,tr,312 LIL,Krull L,M
ARCH 683,Arch Design Track II,,6.00 cr.,,10537,6,17,1300-1650,mwf,TBA,tba,!Mp
ANTH 175,Evolutionary Medicine,3,4.00 cr.,Lecture,10244,94,180,1400-1520,mw,282 LIL,Snodgrass J,
ARH 404,Internship,,1.00-5.00 cr.,,10571,10,10,tba,tba,tba,STAFF,
CRES 616,Mediation Skills,,4.00 cr.,,11727,21,23,1400-1550,tr 9/26-10/05,282 KNI,Nobel B,M
EDST 638,Eng Lng Lrn Humanities,,4.00 cr.,,16584,30,30,1600-1950,t,117 ED,Lane A,M
BI 601,Research,,1.00-9.00 cr.,,11127,10,10,tba,,OIMB,STAFF,
BA 240,Managing Business Info,,4.00 cr.,+ Lab,10879,51,55,1900-1950,r,225 CHI,tba,AY
AAD 401,Research,,1.00-6.00 cr.,,10062,15,15,tba,tba,tba,STAFF,
ANTH 175,Evolutionary Medicine,3,4.00 cr.,+ Lab,10251,14,15,1500-1550,f,330 CON,tba,
GEOL 605,Reading,,1.00-16.00 cr.,,12633,19,20,tba,tba,tba,STAFF,
HIST 190,Found E Asian Civiliz,2 IC,4.00 cr.,Lecture,12794,63,100,0900-0950,mwf,240A MCK,Goble A,
ARH 387,Chinese Buddhist Art,1 IC,4.00 cr.,,16660,10,45,1400-1520,tr,166 LA,Lachman C,
DANC 270,Modern II,,1.00 cr.,,11831,23,35,1200-1330,tr,352 GRX,Garner B,!$Aa
GEOG 485,Remote Sensing I,,4.00 cr.,+ Lab,16458,13,20,1000-1150,w,442 MCK,tba,
ANTH 601,Research,,1.00-16.00 cr.,,10334,13,15,tba,tba,tba,STAFF,
ES 407,Sem Native Am Ethnohst,,4.00 cr.,,16674,19,20,1400-1520,tr,123 MCK,Klopotek B,
FHS 407,Sem Superv Iss Begin,,1.00 cr.,,12261,1,10,1500-1550,r,473 MCK,Cronce J,M
EDST 603,Dissertation,,1.00-16.00 cr.,,12020,13,16,tba,tba,tba,STAFF,
GEOG 503,Thesis,,1.00-16.00 cr.,,12527,20,20,tba,tba,tba,STAFF,
HPHY 660,Basic Sci Clinical Dec,,4.00 cr.,,12988,15,15,0800-0920,mw,132 ESL,Golden G,
HPHY 514,Muscle Metabolism,,4.00 cr.,,12970,1,1,1000-1120,mw,106 CON,Dreyer H,
ART 406,Special Problems,,1.00-8.00 cr.,,10631,10,10,tba,tba,tba,STAFF,$
GRK 605,Reading,,1.00-4.00 cr.,,12702,10,10,tba,tba,tba,STAFF,
GEOL 304,Fossil Record,3,4.00 cr.,,12586,2,60,tba,,WEB,Miles G,
CPSY 401,Research,,1.00-5.00 cr.,,11671,5,5,tba,tba,tba,STAFF,
HIST 507,Sem Stalinism,,5.00 cr.,,16423,4,6,1300-1550,f,471 MCK,Hessler J,
AAD 562,Cultural Policy,,4.00 cr.,,10083,20,30,1400-1650,w,249 LA,Redaelli E,M
INTL 409,Practicum,,1.00-12.00 cr.,,13078,25,25,tba,tba,tba,STAFF,
CRWR 240,Intro to Fiction Writ,,4.00 cr.,,11733,7,26,1400-1550,mw,301 GER,tba,Ab
DAN 394,Modern Dance Lab,,3.00 cr.,,11762,7,25,1000-1150,mwf,350 GRX,Mockli S,!$a
AAD 612,Cultural Admin,,4.00 cr.,,10091,27,28,0800-0950,tr,249 LA,Rinaldi T,M
CH 227,Gen Chemistry Lab,,2.00 cr.,+ Lab,11290,0,20,1200-1450,r,109 KLA,Greenbowe T,A
HIST 201,Inventing America,2 AC,4.00 cr.,+ Dis,12804,19,24,1100-1150,f,373 MCK,tba,U
HPHY 472,Science Athletic Perfm,,4.00 cr.,Lecture,16871,0,30,1200-1350,t,303 GER,Matern P,!$M
EC 607,Sem Core Micro,,4.00 cr.,,11951,19,21,1400-1550,mw,255 LIL,Wu J,
EC 510,Computational Econ,,4.00 cr.,,16922,56,80,1000-1120,tr,208 DEA,Evans D,G
COLT 614,Grad Studies Comp Lit,,5.00 cr.,,16474,10,15,1400-1650,m,312 VIL,Calhoon K,
INTL 442,S Asia: Dev & Soc Chng,IC,4.00 cr.,,16535,29,40,1600-1720,tr,360 CON,Weiss A,
BI 211,Gen Biol I: Cells,3,4.00 cr.,+ Lab,10964,0,24,1300-1450,w,129 HUE,tba,a
BA 318,Fin: Valu thru Capital,,4.00 cr.,,17080,53,60,1600-1750,mw,111 LIL,Xiao Y,!ANd
CHN 305,Hist of Chinese Lit,1 IC,4.00 cr.,+ Dis,16081,20,25,0900-0950,f,166 LA,tba,
ITAL 403,Thesis,,3.00-6.00 cr.,,13123,10,10,tba,tba,tba,STAFF,A
GEOG 585,Remote Sensing I,,4.00 cr.,+ Lab,16461,0,0,1000-1150,w,442 MCK,tba,
ART 333,Drawing II,,4.00 cr.,,16443,0,18,1500-1750,tr,290 LA,Linn R,!$AMBc
BI 601,Res Chromatin Biology,,1.00-16.00 cr.,,11164,10,10,tba,tba,tba,Stankunas K,
ARTC 199,Sp St Wheel Throw Lab,,4.00 cr.,,16966,1,18,1500-1750,mw,105B ART,Mc Donald I,$A
FLR 681,Hist/Theo Folklore Res,,5.00 cr.,,12416,8,15,1700-1950,t,453 PLC,Wojcik D,
COLT 101,Intro Comparative Lit,1 IP,4.00 cr.,+ Dis,11639,5,20,1000-1050,f,201 CON,tba,
FR 111,Intens Begin French,,5.00 cr.,,12426,4,12,1100-1150,mtwrf,151 STB,tba,!A
ENVS 225,Intro to Food Studies,2 IC,4.00 cr.,+ Dis,12171,0,21,1000-1050,f,125 MCK,tba,
ARTP 404,Internship,,1.00-12.00 cr.,,10782,10,10,tba,tba,tba,STAFF,
ES 254,Intro Chican/Lat Stu,2 AC,4.00 cr.,,12219,17,60,1200-1320,mw,105 ESL,Martinez E,
CHN 152,Intro Chinese Pop Cul,1 IC,4.00 cr.,+ Dis,11455,9,25,0900-0950,f,117 GSH,tba,K
GRK 101,Basic Greek,,5.00 cr.,,12695,15,25,1300-1350,mtwrf,225 FR,Wilson M,
HPHY 409,Prac Athletic Train,,1.00-4.00 cr.,,12942,33,33,tba,tba,tba,tba,$M
BI 211,Gen Biol I: Cells,3,4.00 cr.,+ Lab,10959,8,23,1200-1350,r,111 HUE,tba,a
BI 601,Res Neural Circuits,,1.00-16.00 cr.,,16175,10,10,tba,tba,tba,Miller A,
GEOG 399,Sp St Global Carnegie,,1.00-4.00 cr.,,12500,10,10,1900-2050,w,TBA,Cohen S,
ARCH 461,Structural Behavior,,4.00 cr.,+ Lab,10414,0,13,1200-1350,r,101A MCK,tba,M
CH 401,Res Transcription Mech,,1.00-16.00 cr.,,11346,2,2,tba,tba,tba,Hawley D,k
EDLD 659,Scholarly Writing,,4.00 cr.,,11982,7,12,1300-1550,t,115 ED,Bullis M,
ENVS 601,Res Food Talks,,1.00 cr.,,12199,25,25,tba,tba,tba,Wooten S,
BI 121,Intro Human Physiology,3,4.00 cr.,+ Lab,10928,0,23,1000-1050,r,130 HUE,Lombardi P,ae
BA 240,Managing Business Info,,4.00 cr.,+ Lab,10881,16,55,1000-1050,f,225 CHI,tba,AY
BE 401,Research,,1.00-21.00 cr.,,10918,20,20,tba,tba,tba,STAFF,
CIS 212,Computer Science III,4,4.00 cr.,+ Lab,11550,12,25,1600-1650,w,026 KLA,tba,
ENG 608,Wrk Job Search,,1.00 cr.,,12135,7,12,1600-1750,m,360 CON,Quigley M,M
ARCH 681,Intro Graduate Design,,6.00 cr.,,10532,12,17,1300-1650,mwf,TBA,tba,!M
ARTS 406,Special Problems,,1.00-8.00 cr.,,10826,10,10,tba,tba,tba,STAFF,$
ANTH 270,Intro Biological Anth,3,4.00 cr.,+ Lab,10273,18,20,1500-1550,t,368 CON,tba,
BI 601,Res Plant Evolution,,1.00-16.00 cr.,,11165,10,10,tba,tba,tba,Streisfeld M,
EDLD 604,Internship Ed Leadersh,,1.00-12.00 cr.,,11964,10,10,tba,tba,tba,STAFF,a
EDUC 642,Multi Regress & Ed Res,,4.00 cr.,,12047,22,36,1600-1950,t,189 PLC,DeGarmo D,!
HPHY 321,Human Anatomy I,,5.00 cr.,+ Lab,12888,0,20,1200-1350,w,053 KLA,tba,b
ENG 403,Thesis,,1.00-12.00 cr.,,12106,15,15,tba,tba,tba,STAFF,!
AEIS 110,Intro Academic Writing,,4.00 cr.,,10173,16,18,1000-1150,tr,322 LIB,Gabsi T,!Aa
BI 409,Prac Volunteer in Med,,1.00-6.00 cr.,,11094,10,10,tba,tba,tba,Lombardi P,
ENVS 203,Intro Env Stu: Hum,1,4.00 cr.,+ Dis,12165,6,24,1100-1150,f,105 PETR,tba,A
ARTM 601,Research,,1.00-12.00 cr.,,10745,10,10,tba,tba,tba,STAFF,$
BI 401,Res Neural Basis Behav,,1.00-16.00 cr.,,11039,10,10,tba,tba,tba,Lockery S,
BI 211,Gen Biol I: Cells,3,4.00 cr.,+ Lab,10957,16,22,0800-0950,r,111 HUE,tba,a
COLT 605,Reading,,1.00-16.00 cr.,,11664,10,10,tba,tba,tba,STAFF,c
AFR 404,Internship,,1.00-12.00 cr.,,10197,10,10,tba,tba,tba,STAFF,
FLR 250,Intro to Folklore,1 IP,4.00 cr.,+ Dis,12394,7,10,1700-1750,r,471 MCK,tba,
BI 601,Res Neural Basis Behav,,1.00-16.00 cr.,,11136,10,10,tba,tba,tba,Lockery S,
AAA 508,Wrk Basic Design Portf,,1.00 cr.,,17030,23,25,tba,,WEB,Dellabough K,
GEOG 481,GIScience I,,4.00 cr.,+ Lab,12515,6,20,1200-1350,t,442 MCK,tba,
FR 150,Cul Legacies France,1 IC,4.00 cr.,+ Dis,12428,20,20,1000-1050,f,193 ANS,tba,AU
INTL 520,Intl Community Develop,,4.00 cr.,,16543,9,10,1200-1350,tr,140 ALL,Hindery D,
BI 320,Molecular Genetics,,4.00 cr.,Lecture,11008,0,75,0830-0950,tr,115 LA,Prikryl J,!
CIS 111,Intro Web Programming,4,4.00 cr.,+ Lab,11521,4,28,1000-1050,w,026 KLA,tba,
ES 101,Intro Ethnic Studies,2 AC,4.00 cr.,+ Dis,12210,15,25,1500-1550,w,121 MCK,Rognlie D,U
EDLD 609,Prac Inital Adm Licens,,1.00-6.00 cr.,,11974,40,40,tba,tba,tba,Hollenbeck K,ae
DANC 270,Modern II,,1.00 cr.,,11830,31,35,1200-1330,mw,352 GRX,Garner B,!$Aa
GEOL 510,Geochem Modeling,,3.00 cr.,,12620,16,18,0800-0920,mw,254 COL,Watkins J,
CH 337,Organic Chemistry Lab,,3.00 cr.,+ Lab,11324,0,39,1000-1250,t,45 KLA,Koscho M,A
BI 508,Laboratory Projects,,1.00-9.00 cr.,,11114,10,10,tba,,OIMB,STAFF,
EDST 623,Science Concepts,,4.00 cr.,,12031,20,20,1600-1950,w,144 HED,Stapleton S,M
BI 401,Res Genetics & Develop,,1.00-16.00 cr.,,11042,10,10,tba,tba,tba,Postlethwait J,
ARCH 471,Building Enclosure,,4.00 cr.,+ Lab,10428,0,15,0830-0950,r,104 PAC,tba,M
CHN 401,Research,,1.00-4.00 cr.,,11477,20,20,tba,tba,tba,STAFF,
BI 401,Res Cellular Neurosci,,1.00-16.00 cr.,,11043,10,10,tba,tba,tba,Roberts W,
ARCH 550,Spatial Composition,,4.00 cr.,+ Dis,10471,6,13,1800-1850,t,279 LA,tba,M
GEOG 342,Geog of Globalization,2,4.00 cr.,,16449,177,243,1400-1520,tr,282 LIL,Buck D,
HPHY 410,Neonatal Neural Devel,,4.00 cr.,,16569,14,26,0800-0950,tr,B012 ONY,Huxtable A,!M
BI 407,Sem Molecular Biology,,1.00 cr.,,11090,5,5,1600-1720,t,110 WIL,Bowerman B,
ARH 210,Cntmp Asian Art & Arch,1 IC,4.00 cr.,+ Dis,16668,10,25,1400-1450,t,241 LA,tba,
INTL 101,Intro to Intl Issues,2 IC,4.00 cr.,+ Dis,13039,7,23,1300-1350,f,373 MCK,tba,
AAD 462,Cultural Policy,,4.00 cr.,,10074,5,5,1400-1650,w,249 LA,Redaelli E,M
HPHY 321,Human Anatomy I,,5.00 cr.,+ Lab,12892,0,20,1400-1550,r,053 KLA,tba,b
EDLD 610,Adv Proseminar,,4.00 cr.,,17138,23,24,0900-1250,m,115 ED,Stevens J,
EC 202,Intro Econ Analy Macro,2,4.00 cr.,+ Dis,11889,48,48,1500-1550,f,112 ESL,tba,Q
BI 401,Res Intestinal Reg,,1.00-16.00 cr.,,11073,10,10,tba,tba,tba,Powell A,
AAD 250,Art & Human Values,1 IP,4.00 cr.,,10051,0,40,tba,,WEB,Gurley G,W
CIS 571,Intro Artificial Intel,,4.00 cr.,,11599,6,15,1600-1720,mw,246 GER,Lowd D,
BI 121,Intro Human Physiology,3,4.00 cr.,+ Lab,10929,0,23,1100-1150,r,130 HUE,Lombardi P,ae
ENVS 405,Reading,,1.00-18.00 cr.,,12185,10,10,tba,tba,tba,STAFF,
CDS 609,Prac Sept Experience,,1.00-9.00 cr.,,11228,28,28,tba,tba,tba,Boettcher S,P
EC 202,Intro Econ Analy Macro,2,4.00 cr.,+ Dis,11887,19,49,1300-1350,f,105 ESL,tba,
IARC 474,Hist Interior Arch I,,3.00 cr.,,13011,2,40,0830-0950,mw,166 LA,Cunningham E,
ARTP 605,Reading,,1.00-6.00 cr.,,10793,50,50,tba,tba,tba,STAFF,
ARCH 570,Building Construction,,4.00 cr.,+ Lab,10482,10,13,1700-1850,r,278 LA,tba,M
HPHY 409,Prac Pre-Physical Ther,,1.00-4.00 cr.,,12939,25,25,tba,tba,tba,Runyeon J,M
GEOG 494,Spatial Analysis,,4.00 cr.,+ Lab,16767,13,15,1200-1350,w,442 MCK,tba,
ES 256,Intro Nativ Amer Stu,2 AC,4.00 cr.,,12220,21,60,1000-1120,tr,176 ED,Klopotek B,U
ARCH 601,Res Portland,,1.00-6.00 cr.,,10503,16,16,tba,tba,tba,STAFF,p
HPHY 412,Sleep Physiology,,4.00 cr.,+ Lab,12961,0,14,1800-2050,m,4 SRC,tba,!M
BI 211,Gen Biol I: Cells,3,4.00 cr.,+ Lab,10961,18,22,1600-1750,r,111 HUE,tba,a
AA 408,Wrk Fabrication Tactic,,3.00 cr.,,10013,17,20,0900-1150,r,374 WSB,Leahy J,$a
DANC 272,Ballet II,,1.00 cr.,,11834,29,35,1500-1550,mw,352 GRX,tba,!$Aa
AEIS 111,Intermed Academic Writ,,4.00 cr.,,10184,10,18,1200-1350,tr,252 STB,Weber J,!Aa
HIST 104,World History,2 IC,4.00 cr.,+ Dis,12784,20,25,1600-1650,r,125 LLCN,tba,
HPHY 333,Motor Control,,4.00 cr.,+ Lab,12920,4,16,1600-1720,r,075B KLA,tba,M
